about	2
3	1
or	1
5	1
years	1
ago	1
my	2
mother	1
showed	1
a	4
short	1
documentary	1
she	1
recorded	1
russian	1
child	1
model	1
named	1
kristina	1
pimenova	1
not	1
sure	1
if	1
i	3
spelled	1
that	4
correctly	1
this	3
girl	2
is	3
called	1
the	4
most	2
beautiful	2
in	1
world	1
by	1
dailymail	1
womendailymagazine	1
cambio	1
com	1
and	3
others	1
of	2
course	1
s	2
little	1
silly	1
everyone	1
every	1
nation	1
thinks	1
their	1
children	1
as	1
don	1
t	1
have	2
kids	1
but	2
would	1
love	1
to	1
daughter	1
pretty	1
one	1
thing	1
keeps	1
me	2
going	1
knowing	1
our	2
people	2
beauty	1
will	2
outlast	1
ll	1
die	1
prevail	1
so	1
few	1
words	1
14	1
